FPR,TPR,Threshold
0.0,0.0,1.957
0.1007178802260965,0.91889199741753,0.9575
0.11209425457320708,0.9321363790082086,0.957
0.11657802475613536,0.9367171887969994,0.9565
0.11946385556536049,0.9396378393334768,0.956
0.12153879176703475,0.9413656347034771,0.9556
0.1233036800305278,0.9428905217204169,0.955
0.1248300698800353,0.9442985827158976,0.9546
0.12626106036394857,0.9451655547698835,0.954
0.12719120417849222,0.9458911058505242,0.9536
0.12795439910324596,0.946549020813478,0.953
0.1284075460898185,0.9471823408245458,0.9526
0.1287652937107968,0.947612752482553,0.952
0.1290991914903766,0.9481046515202755,0.9517
0.12964773784254335,0.9485535093921973,0.951
0.129933935939326,0.9488609462907738,0.9507
0.13033938324310143,0.9491376394994927,0.95
0.13069713086407975,0.9494020352322686,0.9497
0.13100717880226095,0.9496110923233007,0.949
0.1313172267404422,0.9498570418421619,0.9487
0.13150802547163062,0.9499923140775356,0.948
0.13160342483722484,0.9501460325268238,0.9478
0.13184192325121039,0.9502690072862545,0.9473
0.1319850222996017,0.9504411719494573,0.947
0.13217582103079015,0.9505457004949734,0.9463
0.13234276992058003,0.9506748239923756,0.946
0.13253356865176846,0.9507977987518061,0.9453
0.13262896801736268,0.9508961785593507,0.945
0.13274821722435545,0.9509761121529806,0.9443
0.13286746643134822,0.951049897008639,0.944
0.13305826516253666,0.9511298306022689,0.9434
0.1332490638937251,0.9511974667199558,0.943
0.13336831310071787,0.9512774003135857,0.9424
0.13343986262491356,0.9513450364312724,0.942
0.1334637124663121,0.9514495649767886,0.9414
0.13358296167330488,0.9514864574046177,0.941
0.1337260607216962,0.9515294985704185,0.9404
0.13384530992868898,0.9515971346881053,0.94
0.13391685945288465,0.9516770682817352,0.9395
0.13405995850127597,0.9517324069234789,0.939
0.13408380834267453,0.9518061917791373,0.9385
0.13413150802547164,0.9518676791588526,0.938
0.1342030575496673,0.9519414640145111,0.9375
0.13422690739106585,0.9519845051803117,0.937
0.13437000643945718,0.9520398438220555,0.9365
0.13444155596365284,0.9520828849878562,0.936
0.1345131054878485,0.9521566698435147,0.9355
0.13453695532924706,0.9521812647954008,0.935
0.13460850485344272,0.9522181572232299,0.9346
0.1346800543776384,0.9522919420788883,0.934
