Attack_Type,EER_%,Spoof_Samples
A30,53.51716522749938,3363
A32,51.77207882262604,3504
A18,50.966193888082046,3403
A31,48.689385722099594,3315
A27,48.11383209852649,3436
A20,43.14632787932045,3070
A19,34.013696291205406,3084
A23,32.571351141152824,3478
A28,29.21358894160627,3401
A26,26.371388674413197,3425
A17,25.25879115553199,3533
A25,23.887011007497293,3371
A22,23.279859826696946,3299
A29,19.32981258342163,3493
A21,18.720663990668594,3400
A24,12.523685033936982,3442
