Metric,Value
EER_%,35.21917871306525
EER_Threshold,0.5767340759033701
ROC_AUC,0.7151809523653008
Accuracy,0.6478119317181908
Precision,0.8751750700280112
Recall,0.6478145768924598
F1_Score,0.7445239944255913
