FPR,TPR,Threshold
0.0,0.0,1.973
0.0,6.148737971531343e-06,0.972
0.0,0.00558305407815046,0.9717
0.0059386105082401205,0.17261966981277094,0.971
0.04502850056047127,0.6982260890952132,0.9707
0.05547473109303823,0.8032895748147693,0.97
0.0606501466765246,0.8394748977772313,0.9697
0.06315438002337284,0.8539982168659882,0.969
0.06484771876267023,0.8627663172133919,0.9688
0.06613561019819218,0.8696344575275925,0.9683
0.06704190417133726,0.8738155993482338,0.968
0.0677573994132939,0.8767485473606542,0.9673
0.06835364544825777,0.8794662895440711,0.967
0.06911684037301152,0.8815753066683063,0.9663
0.06964153688377972,0.8834629692255664,0.966
0.07004698418755516,0.8850001537184493,0.9653
0.07052398101552625,0.8864389584037876,0.965
0.0708101791123089,0.8876441110462078,0.9644
0.07104867752629446,0.888664801549482,0.964
0.07131102578167856,0.8895010299136102,0.9634
0.07169262324405543,0.8903618532296246,0.963
0.0718118724510482,0.891222676545639,0.9624
0.07202652102363519,0.8919666738401943,0.962
0.07231271912041785,0.8924708703538599,0.9614
0.0725989172172005,0.893165677744643,0.961
0.0728135657897875,0.8937621053278815,0.9604
0.0730759140451716,0.8942355581516893,0.96
0.07326671277636004,0.8948688781627571,0.9595
0.07340981182475137,0.8952808436068497,0.959
0.07367216008013547,0.8957051065268854,0.9585
0.07376755944572969,0.8960555845912627,0.958
0.07391065849412101,0.8965228886770991,0.9575
0.07400605785971523,0.8968918129553909,0.957
0.07417300674950511,0.8972238448058536,0.9565
0.07422070643230222,0.8975927690841454,0.956
0.074339955639295,0.8978817597688075,0.9556
0.07445920484628778,0.898176899191441,0.955
0.07453075437048344,0.8985150797798752,0.9546
0.0746023038946791,0.8987856242506226,0.954
0.07467385341887477,0.8990500199833984,0.9536
0.07481695246726609,0.8993451594060319,0.953
0.0748646521500632,0.899671042518523,0.9526
0.07496005151565742,0.899935438251299,0.952
0.07507930072265019,0.9001567928182741,0.9517
0.07517470008824441,0.9004088910751068,0.951
0.07529394929523718,0.9006363943800535,0.9507
0.07534164897803429,0.9008516002090571,0.95
0.07553244770922274,0.9010729547760322,0.9497
0.07558014739201985,0.9012574169151781,0.949
0.0756039972334184,0.9015218126479541,0.9487
0.07565169691621551,0.9017370184769576,0.948
0.07574709628180973,0.9019399268300181,0.9478
0.07581864580600539,0.9021858763488794,0.9473
0.07593789501299816,0.90238878470194,0.947
0.07608099406138949,0.9025363544132566,0.9463
0.0761286937441866,0.9027823039321179,0.946
0.07627179279257792,0.9029237249054631,0.9453
0.07634334231677359,0.9031143357825806,0.945
