Attack_Type,EER_%
A28,26.522747525306034
A18,12.88081490039173
A30,10.746757080481565
A24,9.515079097642495
A31,7.2415338208245945
A17,6.798041154512807
A27,6.610078783851287
A19,6.6020417554986555
A20,5.88030774252049
A22,5.184916556620222
A29,5.163246733449918
A32,5.111801633942554
A26,5.022462589898748
A23,4.081166825732748
A25,3.9430718287906776
A21,2.345298545810127
